animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Species1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Species1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Species4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Species1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Species1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Species1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Species4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Species4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Species1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,species2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Species4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,species7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,species7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,species7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,species2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Species1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Species4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Species1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,species2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,species2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Species1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,species2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,species6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,species5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,species5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Species1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Species1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Species1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,species6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Species1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Species1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,species2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Species4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Species1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Species1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,species2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Species4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,species6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,species6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,species2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,species6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,species2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,species7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Species1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Species1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,species6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,species5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,species7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Species1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Species1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,species2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,species2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,species2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,species2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,species4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,species4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,species3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Species1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Species1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Species1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Species1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Species1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Species1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,species2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,species7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Species4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Species1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Species1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,species3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,species7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,species2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,species2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,species3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,species7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Species4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,species2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,species1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,species7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Species4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,species2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,species6
